district,district_key,zone,region,households,population,male_population,female_population,sex_ratio,area_km2,pop_density,literacy_rate,female_literacy_rate,male_literacy_rate,electricity_lighting_pct,flush_toilet_pct,improved_water_pct,school_attendance_pct,mobile_phone_hh_pct,internet_hh_pct,lpg_cooking_pct,wood_cooking_pct,vdc_count
Achham,ACHHAM,Seti,Far-Western,48318,256188,118775,137413,86.4,1700.3,150.7,55.43,42.87,70.39,18.45,33.06,60.23,69.56,33.71,0.11,0.4,98.28,75
Arghakhanchi,ARGHAKHANCHI,Lumbini,West,46826,196895,85550,111345,76.8,1239.5,158.8,72.47,65.79,81.59,59.42,34.98,80.38,76.56,70.97,0.46,5.55,93.45,42
Baglung,BAGLUNG,Dhaualagiri,,61482,266630,116395,150235,77.5,1835.9,145.2,71.67,65.2,80.32,81.72,55.25,89.33,73.94,68.13,1.17,10.45,88.54,60
Baitadi,BAITADI,Mahakali,Far-Western,45167,250225,116763,133462,87.5,1492.7,167.6,62.86,49.21,78.89,24.87,33.16,73.5,72.39,37.92,0.14,0.88,97.88,63
Bajhang,BAJHANG,Seti,Far-Western,33773,194701,92345,102356,90.2,3459.3,56.3,55.43,40.11,72.84,17.48,18.12,68.95,68.06,25.39,0.18,0.36,98.33,47
Bajura,BAJURA,Seti,Far-Western,24888,134154,65078,69076,94.2,2300.1,58.3,55.41,43.31,68.46,22.77,13.56,68.72,73.11,25.41,0.21,0.02,98.93,27
Banke,BANKE,Bheri,Mid-Western,94693,485164,239170,245994,97.2,1880.1,258.1,61.9,54.75,69.31,68.75,32.04,96.04,59.8,60.26,1.63,20.56,71.44,47
Bara,BARA,Narayani,Central,108600,685831,349452,336379,103.9,1272.2,539.1,51.81,40.66,62.54,68.3,17.09,96.31,55.01,61.53,0.47,4.71,67.23,99
Bardiya,BARDIYA,Bheri,Mid-Western,83147,423611,202320,221291,91.4,2000.3,211.8,65.16,57.92,73.19,62.58,19.8,98.09,70.53,61.82,0.49,4.39,87.64,32
Bhaktapur,BHAKTAPUR,Bagmati,Central,68557,298704,149695,149009,100.5,122.8,2432.3,81.34,72.57,90.16,97.78,86.25,88.71,73.58,86.92,13.08,69.23,25.19,18
Bhojpur,BHOJPUR,Koshi,East,39393,181225,84869,96356,88.1,1523.8,118.9,69.12,61.37,78.08,14.84,12.99,71.03,73.81,54.38,0.45,1.25,97.2,63
Chitawan,CHITAWAN,Narayani,Central,132345,569732,270615,299117,90.5,2239.9,254.4,76.61,70.52,83.44,85.93,73.82,92.19,71.82,79.82,7.2,39.7,49.06,38
Dadeldhura,DADELDHURA,Mahakali,Far-Western,27023,141004,65517,75487,86.8,1502.2,93.9,65.01,52.91,79.3,47.98,41.42,73.62,73.86,48.13,0.64,2.65,96.22,21
Dailekh,DAILEKH,Bheri,Mid-Western,48915,260855,126101,134754,93.6,1474.0,177.0,62.32,52.85,72.62,13.57,34.1,53.88,72.48,37.78,0.23,1.53,97.15,56
Dang,DANG,Rapti,Mid-Western,116347,548141,257091,291050,88.3,3002.4,182.6,70.1,62.73,78.6,64.62,45.47,68.01,71.02,70.76,0.98,14.06,76.35,41
Darchula,DARCHULA,Mahakali,Far-Western,24604,132484,62864,69620,90.3,2340.2,56.6,65.15,52.86,79.02,26.95,38.22,83.25,73.61,38.82,0.31,3.33,93.03,41
